Pachastrella monilifera
Pholoe synopthalmica
Ptiliolum spencei
Clepsis spectrana
Leiodes obesa
Stercorarius parasiticus
Phtisica marina
Stercorarius pomarinus
Lacuna vincta
Leiodes parvula
Anatoma crispata
Stercorarius skua
Archarius pyrrhoceras
Leiodes polita
Archarius salicivorus
Leiodes punctulata
Leiodes sileciata
Leiodes silesiaca
Ptilium exaratum
Bius thoracicus
Leiodes triepkii
Pseudococcyx posticana
Ptilium minutissimum
Pseudococcyx turionella
Ptilium modestum
Ptilium myrmecophilum
Minuspio cirrifera
Tomocerina minuta
Polyploca ridens
Charopus graminicola
Anthrenus scrophulariae
Tomocerus flavescens
Tomocerus minor
Tomocerus minutus
Malthinus biguttatus
Tomocerus vulgaris
Eilema complana
Pempelia formosa
Agraylea multipunctata
Bivalvia larvae
Saprinus aeneus
Agraylea sexmaculata
Pempelia palumbella
Agrenia bidenticulata
Diplecogaster bimaculata
Agrenia riparia
Malthinus frontalis
Rallus aquaticus
Eilema depressa
Natrix natrix
Sphragisticus nebulosus
Asio flammeus
Lacydonia miranda
Malthinus punctatus
Asio otus
Onthophagus nuchicornis
Metallus pumilus
Prionospio banyulensis
Prionospio cirrifera
Minyriolus pusillus
Agriades aquilo
Prionospio fallax
Eilema lurideola
Agriades glandon
Eilema lutarella
Malthodes brevicollis
Prionospio malmgreni
Mycetophila alea
Malthodes crassicornis
Geophilus electricus
Lesuerigobius friesii
Heterorhabdus norvegicus
Saprinus rugifer
Geophilus flavus
Malthodes fibulatus
Saprinus semistriatus
Malthodes flavoguttatus
Chartoscirta cincta
Prionospio steenstrupi
Malthodes fuscus
Ptilodictya lanceolata
Anthribus nebulosus
Chartoscirta elegantula
Trigonostomum armatum
Malthodes guttifer
Geophilus insculptus
Ptilodon capucina
Eunice norvegica
Geophilus longicornis
Obscuriphantes obscurus
Phycis blennoides
Anthribus scapularis
Eunice pennata
Malthodes marginatus
Eilema sororcula
Malthodes maurus
Sebastes marinus
Devia prospera
Malthodes minimus
Malthodes mysticus
Philhygra malleus
Geophilus proximus
Asiorestia femorata
Asiorestia ferruginea
Asiorestia motschulskii
Chrysopa perla
Malthodes pumilus
Exorista rustica
Sphyrapus anomalus
Obtusella alderi
Obtusella intersecta
Tomopteris helgolandica
Geophilus truncorum
Phycita roborella
Malthodes spathifer
Brachygluta haematica
Cerapteryx graminis
Pancalia schwarzella
Phycitodes albatella
Parazercon radiatus
Osmerus eperlanus
Phycitodes maritima
Obtusoecia obtusata
Pemphredon lugubris
Svalbardaspis stensioi
Atractomus magnicornis
Atractomus mali
Phycitodes saxicola
Cryptophagus lycoperdi
Nesiarchus nasutus
Willemia anophthalma
Drapetis arcuata
Drapetis assimilis
Willemia denisi
Willemia intermedia
Ocalea picata
Drapetis completa
Willemia scandinavica
Willemia similis
Sebastes norvegicus
Megasternum concinnum
Drapetis ephippiata
Megasternum obscurum
Drapetis exilis
Ammonicera rota
Drapetis infitialis
Dexamine spinosa
Dexamine thea
Drapetis parilis
Pityogenes chalcographus
Euaesthetus bipunctatus
Drapetis pusilla
Tomostethus nigritus
Drapetis simulans
Chrysoperla carnea
Agrilus angustulus
Typhlocyba quercus
Ptilophora plumigera
Drapetisca socialis
Archiboreoiulus pallidus
Lycaena helle
Coronula diadema
Cerastis rubricosa
Xylena exsoleta
Lycaena hippothoe
Dexia vacua
Agrilus betuleti
Phronia biarcuata
Agrilus biguttatus
Drassodes cupreus
Phronia braueri
Dexiogyia forticornis
Megastomia conoidea
Prionus coriarius
Lissospira larseni
Globicornis emarginata
Medetera muralis
Oenopota trevelliana
Tomoxia bucephala
Phaenops cyanea
Lycaena phlaeas
Cerura vinula
Columella aspera
Columella columella
Columella edentula
Phronia fusciventris
Drassyllus pusillus
Exoteleia dodecella
Pseudocuma longicornis
Osmia rufa
Socarnes bidenticulatus
Socarnes vahli
Lycaena virgaureae
Willowsia buskii
Pandalina brevirostris
Willowsia nigromaculata
Pandalina profunda
Eunoe nodosa
Pardosa agricola
Sepsis punctum
Carpocoris purpureipennis
Eunoe oerstedi
Phasianus colchicus
Swammerdamia caesiella
Pardosa amentata
Swammerdamia compunctella
Onuphis conchylega
Pandalus borealis
Habroloma nana
Habroloma nanum
Swammerdamia passerella
Sergestes arcticus
Scirtes hemisphaericus
Pardosa atrata
Pterostichus nigrita
Onuphis hyperborea
Carpodacus erythrinus
Pandalus montagui
Altica carinthiaca
Pandalus propinguus
Pandalus propinquus
Platycheirus occultus
Lilioceris lilii
Onuphis opalina
Altica engstromi
Agrilus laticornis
Onuphis quadricuspis
Cercyon analis
Cis bidentatus
Altica longicollis
Craesus varus
Altica lythri
Georissus crenulatus
Pardosa glacialis
Altica oleracea
Typhlomangelia nivalis
Megatoma pubescens
Atrecus affinis
Megatoma undata
Atrecus longiceps
Altica quercetorum
Osmoderma eremita
Oceanodroma leucorhoa
Tonicella marmorea
Tonicella rubra
Pardosa lugubris
Oceanodroma monorhis
Agrilus olivicolor
Prionychus ater
Prionychus melanarius
Pardosa monticola
Scissurella crispata
Pardosa nigriceps
Pardosa paludicola
Scotopteryx chenopodiata
Pardosa palustris
Anchinia daphnella
Metaphorura affinis
Priophorus brullei
Priophorus pallipes
Pardosa prativaga
Eupithecia assimilata
Archidoris pseudoargus
Pardosa pullata
Thecia swinderenana
Clausilia bidentata
Cis dentatus
Archiearis notha
Phylan gibbus
Archiearis parthenias
Onychiurus ambulans
Eriothrix rufomaculata
Pardosa sphagnicola
Sogda suturalis
Hypogastrura arctandria
Hypogastrura assimilis
Onychiurus circulans
Pardosa traillli
Hypogastrura concolor
Onychiurus fimetarius
Eriozona erratica
Eriozona syrphoides
Onychiurus inermis
Leiopus nebulosus
Serica brunnea
Hypogastrura lapponica
Baris artemisiae
Chrysopilus auratus
Agrilus sulcicollis
Onychiurus nervosus
Thecla betulae
Geostiba circellaris
Anchistropus emarginatus
Hypogastrura purpurescens
Onychiurus scotarius
Laemostenus terricola
Hypogastrura sahlbergi
Pleurogonium inerme
Hypogastrura socialis
Birka cinereipes
Habrosyne pyritoides
Hypogastrura tullbergi
Onychiurus volinensis
Hypogastrura vernalis
Drepana curvatula
Drepana falcataria
Lycenchelys muraena
Lycenchelys sarsii
Laeocochlis sinistratus
Elachista adscitella
Alucita hexadactyla
Elachista albidella
Elachista albifrontella
Epitonium greenlandicum
Elachista alpinella
Elachista anserinella
Elachista apicipunctella
Elachista argentella
Elachista atricomella
Elachista bedellella
Elachista bisulcella
Parectopa ononidis
Archimonocelis koinocystis
Elachista canapennella
Carpophilus dimidiatus
Pleuromamma abdominalis
Cercyon lateralis
Udea hamalis
Pleuromamma borealis
Carpophilus hemipterus
Trigonotylus ruficornis
Elachista cinereopunctella
Drepanepteryx phalaenoides
Elachista cingillella
Muscicapa hypoleuca
Listrophorus brevipes
Carpophilus marginellus
Pleuromamma robusta
Elachista consortella
Ptinella limbata
Elachista diederichsiella
Leiosoma deflexum
Cylindromyia interrupta
Archinemapogon yildizae
Elachista dispilella
Judolia sexmaculata
Elachista elegans
Elachista eleochariella
Elachista eskoi
Elachista exactella
Elachista excelsicola
Elachista freyerella
Muscicapa striata
Ptinus bicinctus
Elachista gleichenella
Raphitoma aequalis
Pseudocythere caudata
Caecum glabrum
Hexarthra mira
Othius subuliformis
Ptinus fur
Admontia blanda
Pseudodactylocotyla palmata
Elachista kilmunella
Drepanocercus spinistylus
Onychogomphus forcipatus
Actinonema grafi
Elachista luticomella
Elachista maculicerusella
Megophthalmus scanicus
Archips crataegana
Ptinus raptor
Typhlotanais aequiremis
Elachista nobilella
Blaniulus guttulatus
Alvania beani
Alvania beanii
Elachista occidentalis
Cis punctulatus
Eristalinus aeneus
Ptinus subpillosus
Ptinus subpilosus
Danilia tinei
Ptinus tectus
Pleuronectes platessa
Philhygra arctica
Alvania cimicoides
Elachista pullicomella
Typhlotanais mixtus
Campsicnemus compeditus
Archips podana
Eophona personata
Eristalinus sepulchralis
Colus glaber
Colus gracilis
Ptiolina obscura
Campsicnemus curvipes
Archips rosana
Hada plebeja
Philhygra debilis
Elachista scirpi
Litargus connexus
Colus holboelli
Elachista serricornis
Colus howsei
Eristalis abusiva
Clethrionomys glareolus
Elachista stabilella
Diacheila arctica
Pleuronectocelaeno barbara
Colus jeffreysianus
Elachista subalbidella
Colus latericeus
Eristalis anthophorina
Clethrionomys rufocanus
Eristalis arbustorum
Blaps mucronata
Alvania griegi
Clethrionomys rutilus
Elachista tanaella
Nesoselandria morio
Elachista tengstromi
Campsicnemus loripes
Udea prunalis
Elachista trapeziella
Sericoda quadripunctata
Elachista triatomea
Alvania jeffreysi
Trifurcula cryptella
Hadena albimacula
Elachista utonella
Diphasia fallax
Trifurcula eurema
Typhochrestus digitatus
Sericoderus lateralis
Elachista zernyi
Eoplectodonta duplicata
Eristalis cryptarum
Zygaena exulans
Hadena bicruris
Oxystoma subulatum
Forcipata citrinella
Cerastoderma edule
Hadena caesia
Trifurcula subnitidella
Acrotrichis norvegica
Cerastoderma glaucum
Eristalis fratercula
Musculium lacustre
Thecophora atra
Campsicnemus scambus
Cerastoderma ovale
Eristalis gomojunovae
Thecophora fulvipes
Diachrysia chrysitis
Cletodes longicaudatus
Eristalis hirta
Tarentula aculeata
Hadena compta
Archisotoma besselsi
Eristalis interrupta
Archisotoma interstitialis
Hadena confusa
Eristalis intricaria
Philhygra polaris
Diachrysia stenochrysis
Archisotoma theae
Rana temporaria
Agriopis aurantiaria
Agriopis leucophaearia
Agriopis marginaria
Trigla gurnardus
Alvania subsoluta
Trigla lucerna
Alvania testae
Philhygra volans
Fabricia sabella
Eristalis pertinax
Musculus discors
Eristalis picea
Alvania wyvillethomsoni
Carsia sororiata
Alvania zetlandica
Lycia pomonaria
Sericomyia lappona
Eristalis pseudorupium
Geotrupes spiniger
Sericomyia nigra
Sericomyia silentis
Brenthis ino
Ptomaphagus sericatus
Geotrupes stercorosus
Eristalis rupium
Scleraulophorus cephalatus
Eristalis sepulchralis
Geotrupes vernalis
Musculus niger
Laevicardium crassum
Eristalis tenax
Hadena perplexa
Euomphalia strigella
Hadena rivularis
Agriotes lineatus
Taricha vulgaris
Nesovitrea hammonis
Agriotes obscurus
Helicoverpa armigera
Cortinicara gibbosa
Colydium elongatum
Thecta betulae
Diacrisia sannio
Zygaena lonicerae
Witlesia pallida
Cortodera femorata
Pseudodineura fuscula
Ochlodes sylvanus
Ochlodes venata
Agriphila biarmicus
Agriphila deliella
Mirificarma mulinella
Agriphila inquinatella
Agriphila latistria
Colymbetes dolabratus
Tarnania fenestralis
Tarnania tarnanii
Diacyclops bicuspidatus
Erithacus rubecula
Colymbetes paykulli
Agriphila selasella
Agriphila straminella
Triglops murrayi
Camptocercus rectirostris
Ostearius melanopygius
Leucania comma
Colymbetes striatus
Agriphila tristella
Diacyclops crassicaudis
Triglops pingelii
Erithacus svecicus
Chrysops nigripes
Carterocephalus palaemon
Carterocephalus silvicola
Spilomyia diophthalma
Agrius convolvuli
Diacyclops languidus
Spilomyia manicata
Diacyclops nanus
Sericostoma personatum
Diphyes arctica
Miris striatus
Hadreule elongatula
Fabulina fabula
Meigenia dorsalis
Spilonota laricana
Zygaena osterodensis
Facelina bostoniensis
Spilonota ocellana
Leistus ferrugineus
Meigenia mutabilis
Hadrobregmus pertinax
Thelaira nigripes
Anthus campestris
Chilocorus bipustulatus
Leucania obsoleta
Anthus cervinus
Lithobius borealis
Sericus brunneus
Leistus terminatus
Anthus godlewskii
Fuchungopora arctica
Anthus gustavi
Anthus hodgsoni
Agrochola circellaris
Pleuroptya ruralis
Lithobius crassipes
Tarsiger cyanurus
Leitoscoloplos mammosus
Agrochola helvola
Lithobius curtipes
Camptogramma bilineata
Agrochola litura
Agrochola lota
Aspelta angusta
Lyciella subfasciata
Agrochola macilenta
Lafoea dumosa
Vitula edmandsii
Anthus novaeseelandiae
Lafoea fruticosa
Lafoea gracillima
Ceratapion gibbirostre
Asperarca nodulosa
Ceratapion onopordi
Cydia aureolana
Blastodacna atra
Lithobius erythrocephalus
Lafoeina maxima
Pareuchaeta norvegica
Cydia cognatana
Anthus pratensis
Cydia coniferana
Pristiphora abietina
Lithobius forficatus
Cydia corollana
Anthus richardi
Cydia cosmophorana
Anthus rubescens
Cydia duplicana
Pandemis cerasana
Cydia fagiglandana
Cartodere nodifer
Pristiphora carinata
Pristiphora cincta
Corvus corax
Pandemis dumetana
Drepanothrix dentata
Pandemis heparana
Cydia illutana
Sterictiphora geminata
Cydia indivisa
Anthus spinoletta
Cydia inquinatana
Corvus cornix
Metasphaerolaimus crassicauda
Corvus corone
Drepanotylus uncatus
Soronia punctatissima
Pristiphora leucopus
Hiatella arctica
Camptonectes striatus
Pristiphora melanocarpa
Pristiphora mollis
Anthus trivialis
Stenus fulvicornis
Pristiphora pallidiventris
Lithobius lapidicola
Cydia nigricana
Hiatella rugosa
Ceratia proxima
Camptonotus herculeanus
Camptonotus ligniperda
Hiatella striata
Cydia pactolana
Corvus frugilegus
Serinus serinus
Eospirigerina gaspeensis
Cydia pomonella
Lithobius macilentus
Dreposcia brevipalpis
Cydia servillana
Meioneta gulosa
Cydia splendana
Lithobius melanops
Cydia strobilella
Cydia succedana
Lithobius microps
Corvus monedula
Meioneta nigripes
Gaidropsarus vulgaris
Spilosoma lubricipeda
Spilosoma lutea
Eostropheodonta delicata
Lithobius nigrifrons
Pandion haliaetus
Arcopagia balaustina
Lepidochitona cinerea
Hadroplontus litura
Arcopagia crassa
Barnea candida
Mustela erminea
Pandivirilia eximia
Zygaena viciae
Diadocidia ferruginosa
Diadocidia spinosula
Pristiurus melanostomus
Pristiurus melastomus
Diadocidia valida
Spilosoma urticae
Ernobius abietinus
Ernobius abietis
Ernobius angusticollis
Agroeca brunnea
Actinotia polyodon
Lejogaster metallina
Acrulia inflata
Lejogaster tarsata
Ernobius explanatus
Julus scandinavius
Sterna dougallii
Agroeca proxima
Ernobius longicornis
Ernobius mollis
Brevicornu bipartitum
Brevicornu boreale
Brevicornu crassicorne
Brevicornu foliatum
Sterna hirundo
Brevicornu fuscipenne
Mustela minuta
Brevicornu grieseicolle
Brevicornu griseolum
Mustela nivalis
Brevicornu kingi
Lejota ruficornis
Synanthedon culiciformis
Huginaspis vogti
Lithobius tenebrosus
Brevicornu ruficorne
Brevicornu sericoma
Euonyx chelatus
Oonops pulcher
Netta rufina
Mustela putorius
Tasgius morsitans
Sterna paradisaea
Ancistronycha cyanipennis
Diaea dorsata
Sterna sandvicensis
Ptycholoma lecheana
Mustela vison
Ptycholomoides aeriferana
Ceratinella brevipes
Euophrys frontalis
Ceratinella brevis
Actitis hypoleucos
Leucapamea ophiogramma
Seritia elegans
Gonostomula anocelis
Actitis macularius
Labidoplax buski
Labidoplax buskii
Ernoporus tiliae
Barrandeolites bowerbanki
Parhelophilus consimilis
Gonothyraea hyalina
Sycandra coronata
Hypomma bituberculatum
Ostoma ferruginea
Ero furcata
Stenus intermedius
Arctaspis hoeli
Arctaspis kiaeri
Arctaspis maximus
Spinachia spinachia
Zygiella atrica
Zygiella stroemi
Tyria jacobaeae
Zygiella x-notata
Camptozygum aequale
Cygnus atratus
Arctia caja
Cygnus columbianus
Cygnus cygnus
Junco hyemalis
Metatropis rufescens
Pleurota bicostella
Zygina flammigera
Drilonereis filum
Diplapion confluens
Verdanus abdominalis
Verdanus limbatellus
Pariambus typicus
Driloneris filum
Macrophya albicincta
Drilus concolor
Iothia fulva
Saperda carcharias
Polypogon tentacularia
Sycon abyssale
Zygina rubrovittata
Pipistrellus pipistrellus
Arctica islandica
Acalles ptinoides
Pipistrellus pygmaeus
Cylichna alba
Lycodes eudipleurostictus
Zygina tiliae
Cauchas rufimitrella
Lycodes frigidus
Lycodes gracilis
Daphnia cristata
Acalles roboris
Daphnia cucullata
Metaxmeste phrygialis
Metaxmeste schrankiana
Miscodera arctica
Thelepus cincinnatus
Cylichna cyclindracea
Cylichna cylindracea
Spinax spinax
Sycon villosum
Daphnia galeata
Lycodes pallidus
Daphnia hyalina
Lycodes reticulatus
Lycodes rossi
Aglaostigma alpinum
Pipiza bimaculata
Lycodes seminudus
Lycodes squamiventer
Daphnia longispina
Arctinula greenlandica
Chrysoteuchia culmella
Lycodes vahli
Daphnia magna
Lycodes vahlii
Pipiza lugubris
Pipiza luteitarsis
Carychium minimum
Wormaldia subnigra
Pipiza noctiluca
Sclerocrangon boreas
Pipiza quadrimaculata
Macrophya duodecimpunctata
Meta merianae
Daphnia pulex
Carychium tridentatum
Calambus bipustulatus
Cylichnina nitidula
Pipizella viduata
Cylichnina umbilicata
Campylaspis glabra
Lagenorhynchus acutus
Phaeostigma notata
Dialineura analis
Calameuta pallipes
Campylaspis macrophthalma
Cerylon fagi
Calamia tridens
Neuratelia nemoralis
Neureclipsis bimaculata
Campylaspis rubicunda
Climacograptus pitillus
Ostrea edulis
Cantharis quadripunctata
Ootypus globosus
Cerylon histeroides
Lycodonus flagellicauda
Pennatula phosphorea
Cochlembolus alpinus
Anticlea badiata
Neurigona abdominalis
Eupoecilia ambiguella
Anticlea derivata
Metellina mengei
Metellina merianae
Ochropacha duplaris
Sorex isodon
Metellina segmentata
Metendothenia atropunctana
Acupalpus meridianus
Proales cognita
Proales daphnicola
Acupalpus parvulus
Caryocolum amaurella
Boletina erythropyga
Neurigona pallida
Caryocolum blandella
Caryocolum blandelloides
Anticollix sparsata
Caryocolum cassella
Neurigona quadrifasciata
Epagoge grotiana
Arctobyrrhus dovrensis
Caryocolum fraternella
Ancylis achatana
Neurigona suturalis
Ancylis apicella
Caryocolum junctella
Ochropleura plecta
Ancylis badiana
Crambus ericella
Caryocolum marmorea
Ancylis comptana
Ancylis diminutana
Caryocolum petrophila
Ancylis geminana
Caryocolum pullatella
Ancylis laetana
Caryocolum tischeriella
Ancylis mitterbacheriana
Caryocolum vicinella
Tyrus mucronatus
Ancylis myrtillana
Rhagio annulatus
Crambus hamella
Mya arenaria
Arctocorisa carinata
Ancylis subarcuana
Pleraplysilla minchini
Ancylis tineana
Ancylis uncella
Ancylis unculana
Tyto alba
Stenus opticus
Ancylis upupana
Cryptopleurum minutum
Mya truncata
Atrypa reticularis
Cheilosia albipila
Cheilosia albitarsis
Lithocharis nigriceps
Arctodiaptomus laticeps
Lithocharis ochracea
Fulica atra
Briareum grandiflorum
Sternula albifrons
Hypoponera punctatissima
Cheilosia bergenstammi
Cribrinopsis similis
Lagis koreni
Cheilosia chrysocoma
Boletina populina
Opatrum riparium
Opatrum sabulosum
Crambus lathoniellus
Tytthaspis sedecimpunctata
Cheilosia gigantea
Leuciscus cephalus
Bombus soroeensis
Chrysotoxum arcuatum
Arctolepis brevis
Chrysotoxum bicinctum
Chrysotoxum cautum
Rhodometra sacraria
Chrysotoxum fasciatum
Chrysotoxum fasciolatum
Chrysotoxum festivum
Yoldiella fraterna
Acylophorus wagenschieberi
Cheilosia longula
Leuciscus idus
Rymosia fasciata
Cheilosia mutabilis
Leuciscus leuciscus
Fulmarus glacialis
Bartramia longicauda
Daption capense
Incurvaria oehlmanniella
Syllidia armata
Chrysotoxum vernale
Lithodes arcticus
Erolia maritima
Cheilosia pagana
Erolia temminchii
Erolia temminckii
Lithodes maia
Lithodes maja
Lemmus lemmus
Edwardsiella carnea
Epauloecus unicolor
Sterrhopterix fusca
Falcaria lacertinaria
Sterrhopterix standfussi
Arctophila bombiformis
Charanyca trigrammica
Cheilosia scutellata
Stenus providus
Ostrinia nubilalis
Caryophyllia smithii
Ostrinia quadripunctalis
Myathropa florea
Chrysotus cilipes
Cheilosia uviformis
Cheilosia variabilis
Chrysotus cupreus
Cheilosia vernalis
Haematopota pluvialis
Cheilosia vicina
Attagenus smirnovi
Chrysotus femoratus
Mycale lingua
Chrysotus gramineus
Mycale marshallhalli
Falcidens crossotus
Ceratocephale loveni
Chrysotus neglectus
Yoldiella propinqua
Dromius agilis
Serpula vermicularis
Chrysotus obscuripes
Dromius angustus
Dromius fenestratus
Rana arvalis
Chrysotus pulchellus
Heliophanus cupreus
Haematopus ostralegus
Chrysotus suavis
Ancylosis cinnamomella
Taurulus bubalis
Bledius arcticus
Heliophanus flavipes
Taurulus lilljeborgii
Dromius quadrimaculatus
Zygomyia humeralis
Phloeonomus lapponicus
Zygomyia kiddi
Dromius schneideri
Zygomyia notata
Capulus ungaricus
Bledius bosnicus
Zygomyia pseudohumeralis
Zygomyia semifusca
Stethomostus fuliginosus
Arctosa alpigena
Zygomyia vara
Arctosa cinerea
Ochthebius bicolon
Bledius denticollis
Misumena vatia
Pennithera firmata
Arctosa insignita
Ammophila sabulosa
Bledius femoralis
Bledius fergussoni
Bledius fuscipes
Bledius gallicus
Proboloides gregarius
Arctosa perita
Ceratocombus coleoptratus
Bledius littoralis
Bledius longulus
Stethorus punctillum
Falco cherrug
Arctoseius cetratus
Falco columbarius
Campyloneura virgula
Lithomoia solidaginis
Amaeana trilobata
Bledius opacus
Phloeopara nitidiventris
Bledius pallipes
Ochthebius lenensis
Bledius poppiusi
Amage auricula
Ochthebius marinus
Erotesis baltica
Sylvia atricapilla
Ochthebius minimus
Bledius subterraneus
Sylvia borin
Bledius talpa
Lagopus lagopus
Bledius terebrans
Bledius tibialis
Sylvia cantillans
Bledius tricornis
Sylvia communis
Bledius vilis
Steveacarus evansi
Sylvia crassirostris
Sylvia curruca
Dianous coerulescens
Falco peregrinus
Spio filicornis
Pseudohermenias abietana
Lagopus mutus
Blemus discus
Ancylus fluviatilis
Epermenia chaerophyllella
Sylvia nisoria
Adaina microdactyla
Epermenia illigerella
Spiochaetopterus typicus
Falco rusticolus
Tolmerus atricapillus
Epermenia profugella
Parisotoma ekmani
Carabus problematicus
Parisotoma notabilis
Xylocampa areola
Rana lessonae
Lycophotia porphyrea
Phakellia bowerbanki
Adalia bipunctata
Ochthephilus omalinus
Adalia conglomerata
Ochthephilus strandi
Cylindroiulus britanicus
Cylindroiulus britannicus
Erpobdella octoculata
Tortricodes alternella
Cylindroiulus caeruleocinctus
Haemopis sanguisuga
Falco subbuteo
Spiophanes bombyx
Phakellia ventilabrum
Spiophanes kroeyeri
Falco tinnunculus
Spiophanes kroyeri
Sylvicola cinctus
Lithophane consocia
Sylvicola fenestralis
Cylindroiulus latestriatus
Lithophane furcifera
Cylindroiulus latistriatus
Spiophanes wigleyi
Falco vespertinus
Heliophobus reticulata
Mancikellia pumila
Lithophane lamda
Cylindroiulus nitidus
Trigonostomum penicillatum
Trigonostomum venenosum
Sylvicola punctatus
Cylindroiulus punctatus
Cylindroiulus silvarum
Chthonius ischnocheles
Scleroracus identicus
Adamsia carciniopados
Lithophane socia
Barynotus obscurus
Barynotus squamosus
Blennocampa phyllocolpa
Cylindroleberis mariae
Lagria hirta
Chthonius tetrachelatus
Barypeithes pellucidus
Mitopus morio
Xanthandrus comtus
Tortrix viridana
Udea decrepitalis
Othius angustus
Phalacrocera replicata
Cylindromyia brassicaria
Udea ferrugalis
Othius lapidicola
Udea inquinatalis
Othius myrmecophilus
Othius punctulatus
Phalacrocorax aristotelis
Pseudoips prasinana
Amalus scortillum
Udea lutealis
Cylindromyia pusilla
Serratella aurivillii
Serratella ignita
Udea nebulalis
Udea olivalis
Clio limacina
Mitostoma chrysomelas
Dascillus cervinus
Phalacrocorax carbo
Sarda sarda
Xanthia icteritia
Scrobicularia plana
Sardina pilchardus
Xanthia togata
Cliona celata
Ophelina modesta
Cheirocratus sundevalli
Cheirocratus sundevallii
Procampylaspis armata
Hagenella clathrata
Cliona northumbrica
Adela croesella
Adela cuprella
Symballophthalmus fuscitarsis
Nevraphes angulatus
Nevraphes coronatus
Nevraphes elongatulus
Brinkmanniella macrostomoides
Adela reaumurella
Ranatra linearis
Blepharidopterus angulatus
Clione limacina
Lepidocyrtus violaceus
Cryphalus abietis
Enicmus transversus
Acalypta carinata
Acalypta gracilis
Acalypta marginata
Acalypta parvula
Phalacropterix graslinella
Diplocentria bidentata
Operophtera brumata
Operophtera fagata
Calandrella brachydactyla
Taxonus agrorum
Cryphalus saltuarius
Diplocephalus cristatus
Diplocephalus latifrons
Diplocephalus permixtus
Diplocephalus picinus
Calandrella rufescens
Phalacrus corruscus
Brissopsis lyrifera
Falseuncaria degreyana
Gorgonocephalus lamarckii
Falseuncaria ruficiliana
Pirata piraticus
Phalacrus substriatus
Brachycentrus subnubilus
Hahnia nava
Hahnia ononidum
Hahnia pusilla
Saperda perforata
Ephemera danica
Ophelia borealis
Corymbia maculicornis
Ophelia limacina
Desmosoma lineare
Ephemera vulgata
Cryphia raptricula
Corymbia rubra
Bylgides groenlandicus
Diplocirrus glaucus
Conistra rubiginosa
Ephemerella aurivillii
Metidiocerus elegans
Lithosia quadra
Ophelina acuminata
Scophthalmus rhombus
Ophelina cylindricaudata
Ophelina limacina
Ephemerella ignita
Ophelina norvegica
Rhodostethia rosea
Ephemerella mucronata
Microsetella norvegica
Cryphoeca silvicola
Diplocoelus fagi
Serripes groenlandicus
Aspidapion radiolus
Ocnerostoma friesei
Ocnerostoma piniariella
Rhodostrophia vibicaria
Sthenelais limicola
Blepharita satura
Ceratopera sellai
Arca pectuncoloides
Diplocolenus bohemani
Sthenelais zetlandica
Ophiacantha abyssicola
Crypsedra gemmea
Gortyna flavago
Ophiacantha bidentata
Pachyotoma crassicauda
Zyras cognatus
Clitellio arenarius
Echinorhynchus turbinella
Zyras funestus
Atylus carinatus
Ocnus lacteus
Zyras humeralis
Zyras laticollis
Zyras lugens
Metoecus paradoxus
Symmerus annulatus
Symmerus nobilis
Martania taeniata
Procerodes littoralis
Cylindrostoma fingalianum
Cylindrostoma gracilis
Cylindrostoma lutheri
Leucodonta bicoloria
Atylus swammerdamii
Serropalpus barbatus
Atylus vedlomensis
Elysia viridis
Arcynopteryx compacta
Corymorpha nutans
Adelodrilus cooki
Scolecithricella minor
Hypsopygia costalis
Chydorus gibbus
Ophiacantha spectabilis
Chydorus latus
Metopa bruzelii
Chydorus ovalis
Processa canaliculata
Chydorus piger
Chydorus sphaericus
Metopa norvegica
Mysis mixta
Somateria mollissima
Ophiactis balli
Ephestia elutella
Ephestia kuehniella
Ephestia mistralella
Mysis ornata
Infurcitinea argentimaculella
Myriochele danielsseni
Infurcitinea ignicomella
Cyphoderus albinus
Neanthes fucata
Myriochele heeri
Xanthochlorus tenellus
Otiorhynchus arcticus
Melanchra persicariae
Melanchra pisi
Otiorhynchus atroapterus
Cylisticus convexus
Neanura muscorum
Stichaster albulus
Ceratophysella bengtssoni
Stichastrella rosea
Rangifer tarandus
Ceratophysella denticulata
Campylosteira verna
Ceratophysella granulata
Ceratophysella longispina
Spathocera dahlmannii
Cyllecoris histrionicus
Ceratophysella scotica
Ceratophysella succinea
Raniceps raninus
Sertularella gayi
Mangelia attenuata
Andrena clarkella
Pseudopostega crepusculella
Andrena lapponica
Scolelepis foliosa
Polyprion americanum
Akera bullata
Scolelepis fuliginosa
Mangelia coarctata
Ulianinia mollissima
Ulianinia westbladi
Otiorhynchus desertus
Sertularella polyzonias
Scolelepis tridentata
Sympetrum danae
Prochoreutis myllerana
Andrena denticulata
Blera fallax
Sertularella tricuspidata
Sympetrum flaveolum
Ardea cinerea
Mangelia powisiana
Sargus cuprarius
Blethisa multipunctata
Alauda arvensis
Rhogogaster chlorosoma
Sertularia cupressina
Rhogogaster dryas
Metopobactrus prominulus
Sympetrum nigrescens
Rhogogaster punctulata
Rhogogaster viridis
Sargus iridatus
Haploops tubicola
Aspidiphorus orbiculatus
Chelidurella acanthopygia
Andrena cineraria
Ardea purpurea
Chelifer cancroides
Cylletron nivale
Sympetrum sanguineum
Phyllobius argentatus
Ephistemus globulus
Nicippe tumida
Leucoma salicis
Sargus rufipes
Sympetrum striolatum
Otiorhynchus lepidopterus
Sargus splendens
Otiorhynchus ligneus
